days,Shanghai,PudongNew,Huangpu,Jingan,Xuhui,Changning,Putuo,Hongkou,Yangpu,Baoshan,Minhang,Jiading,Jinshan,Songjiang,Fengxian,Chongming,Qingpu
11,0.989981575,1.08221054,1.166935906,1.255021585,0.791643412,1.200538751,0.809998923,1.166711696,0.840324609,0.787609535,0.843820748,0.95601967,0.514453876,0.856513198,0.640957743,0.650775707,0.79166429
12,0.939215732,0.976959019,1.243913569,1.367294537,0.853408538,1.04558341,0.713608255,1.060510448,0.790246098,0.928919768,0.739755588,0.940870614,0.500113759,0.815577006,0.765343218,0.720238816,0.784378209
13,0.888346598,0.815985064,1.332715182,1.494037831,0.890561479,0.961876749,0.756580848,0.935408246,0.924609243,1.006824169,0.710683978,0.943785131,0.518904111,0.853627313,0.72721355,0.801672226,0.817190023
14,0.869850961,0.72571688,1.237872819,1.750331543,0.931084206,0.85735176,0.851334389,0.918234493,0.934001926,1.109508723,0.769243777,0.951958835,0.615506171,0.841806021,0.782674933,0.9922002,0.894395803
15,0.893189429,0.724891287,1.259982822,1.627925697,0.918079196,0.859675288,0.92836663,0.865311762,0.952672251,1.20551025,0.789421361,0.920234278,0.689002304,1.240511775,0.581473339,1.097991321,0.872672112
16,0.898903486,0.728785482,1.213835582,1.303100882,0.955729673,0.891960444,0.80437243,0.858562143,1.026677946,1.390959712,0.712754394,0.945809153,0.911587306,1.345308542,0.525864786,1.450459892,0.947795563
17,0.907392522,0.761419497,1.138215946,1.277550227,0.957416467,0.927133234,0.678568632,0.818269969,1.085457571,1.455854342,0.683281908,0.889920031,1.270930473,1.215357223,0.545732348,1.489876608,0.928362551
18,0.908520382,0.731913376,1.045184503,1.185721697,1.049483005,0.924812372,0.722944787,0.876005806,1.18658035,1.427484444,0.691797955,0.897067705,1.394960447,1.107794247,0.619634307,2.214973092,0.994459344
19,0.894290709,0.728471497,0.90323545,1.076497243,0.983352883,0.902968709,0.745885984,0.97172816,1.206305397,1.404714906,0.690447206,0.857724719,1.434499638,1.045414686,0.515487297,2.581389353,0.976784744
20,0.861027185,0.752672377,0.799423843,1.028047609,0.885563169,0.811783329,0.746472556,1.042792623,0.961947411,1.30680812,0.641774135,0.808995557,1.446379422,0.942250617,0.447434975,2.231964704,0.952439388
21,0.86685412,0.784239717,0.872032981,0.924675683,0.911931694,0.867489805,0.736236455,1.127234196,0.95950946,1.223947253,0.508861462,0.777944776,1.305300884,0.919103323,0.362967674,1.636969173,0.909999282
22,0.798700987,0.697365249,0.82181314,0.97785014,0.861785138,0.829040633,0.682380492,1.116789376,0.882975757,1.072549518,0.486539826,0.765189446,1.160028781,0.514483112,0.550015511,1.459514233,0.836627862
23,0.727772689,0.590073695,0.804062671,1.05255903,0.750572475,0.734621188,0.6247881,1.05282144,0.775725996,0.881707711,0.507589179,0.693779182,0.9429688,0.41620546,0.57351901,1.353436997,0.730383546
24,0.668337433,0.515021009,0.79765478,0.938757545,0.671794727,0.645432443,0.555796574,1.027218945,0.698863454,0.747996593,0.480148463,0.656455008,0.687015969,0.377709416,0.731979373,1.218305611,0.702392086
25,0.619630764,0.491715368,0.718074303,0.886665761,0.604687873,0.591246642,0.493606668,0.884174987,0.620052589,0.675165477,0.494844759,0.639637709,0.635083525,0.314355089,0.811772313,0.921985176,0.6157634
26,0.596907684,0.500026834,0.739117056,0.796854183,0.59039302,0.559233699,0.434665689,0.772998676,0.569099257,0.60237734,0.489310611,0.625028071,0.573912337,0.329415158,0.803942656,0.666358096,0.531029668
27,0.601132121,0.49616026,0.738951913,0.754090022,0.627331092,0.600957328,0.403929615,0.683468724,0.610977653,0.597418827,0.56760451,0.667711855,0.444210042,0.364260474,0.827637318,0.592218566,0.512105538
28,0.545783706,0.443144424,0.629617106,0.682769672,0.496626319,0.473709432,0.390715985,0.554373291,0.614590698,0.589030285,0.616755031,0.634075936,0.35504045,0.313024798,0.937676541,0.649789162,0.444163344
